State,Beer,Wine,Spirits,All Beverages,Decile
Alabama,1.14,0.25,0.6,1.99,9
Alaska,1.07,0.52,1.16,2.75,3
Arizona,1.12,0.42,0.81,2.35,5
Arkansas,1.0,0.2,0.6,1.8,10
California,0.98,0.61,0.75,2.34,6
Colorado,1.2,0.5,1.11,2.81,2
Connecticut,0.85,0.61,0.91,2.37,5
Delaware,1.25,0.72,1.63,3.6,1
District of Columbia,1.16,1.01,1.66,3.83,1
Florida,1.28,0.51,0.96,2.75,3
Georgia,1.03,0.25,0.69,1.98,9
Hawaii,1.25,0.54,0.76,2.56,4
Idaho,1.08,0.34,0.77,2.2,8
Illinois,1.13,0.42,0.77,2.33,6
Indiana,1.0,0.28,0.81,2.09,8
Iowa,1.33,0.22,0.79,2.34,6
Kansas,0.99,0.14,0.76,1.88,10
Kentucky,0.95,0.2,0.7,1.85,10
Louisiana,1.34,0.32,0.93,2.58,4
Maine,1.36,0.42,0.91,2.69,3
Maryland,0.89,0.39,0.9,2.18,8
Massachusetts,1.0,0.66,0.89,2.55,4
Michigan,1.01,0.37,0.85,2.23,7
Minnesota,1.14,0.43,1.16,2.72,3
Mississippi,1.35,0.16,0.73,2.24,7
Missouri,1.19,0.36,0.89,2.44,5
Montana,1.63,0.49,0.95,3.07,2
Nebraska,1.39,0.21,0.71,2.32,6
Nevada,1.41,0.63,1.28,3.32,1
New Hampshire,1.86,0.89,1.92,4.67,1
New Jersey,0.84,0.61,0.92,2.37,5
New Mexico,1.17,0.34,0.84,2.34,5
New York,0.93,0.51,0.77,2.22,7
North Dakota,1.69,0.32,1.38,3.39,1
Ohio,1.22,0.3,0.53,2.04,8
Oklahoma,1.11,0.19,0.62,1.93,9
Oregon,1.2,0.57,0.89,2.66,4
Pennsylvania,1.34,0.31,0.68,2.33,6
Rhode Island,1.0,0.57,0.98,2.55,4
South Carolina,1.26,0.25,0.8,2.31,6
South Dakota,1.53,0.28,1.02,2.82,2
Tennessee,1.05,0.25,0.7,2.0,9
Texas,1.3,0.32,0.63,2.25,7
Utah,0.67,0.19,0.51,1.37,10
Vermont,1.54,0.74,0.72,3.0,2
Virginia,1.02,0.46,0.62,2.1,8
Washington,1.02,0.46,0.62,2.1,8
West Virginia,1.24,0.1,0.46,1.8,10
Wisconsin,1.45,0.38,1.17,3.0,2
Wyoming,1.24,0.29,1.13,2.67,3
